"nature","section","section2","section3","comite"
"MCF","25","","","Bardy-Panse Nicole
Baumann Pierre
Ben Said Salem
Bouaziz Abderrazak
Brunat Olivier
Chaput Pierre-Emmanuel (président)
Deléaval Luc
Genestier Alain
Gruson Caroline
Harinck Pascale
Pasquale Angela
Remy Bertrand"
"MCF","27","","","\N"
"MCF","26","","","Michel BRONIATOWSKI, Gérard BIAU, Fabrice CARRAT, Philippe SAINT PIERRE, Sophie TEZENAS, Antoine CHAMBAZ, Roch GIORGI, Aurélien LATOUCHE, Kévin BLEAKLEY, Jean GAUDART, Raphaël PORCHER, Céline VIAL"
"PR","27","","","\N"
"MCF","26","","","Pierre Alquier
Elodie Brunel
Hervé Cardot
Christophe Crambes
Sébastien Gadat
Ali Gannoun
Sophie Lambert-Lacroix
André Mas
Vincent Rivoirard
Pascal Sarda
Gwladys Toulemonde
Nicolas Verzelen"
"PR","27","","","\N"
"MCF","26","67","","\N"
"MCF","25","","","\N"
"PR","27","","","\N"
"PR","26","","","\N"
"MCF","27","","","Internes :
ATIF Jamal
BARRAS Claude
MANOUSSAKIS Yannis
MORICEAU Véronique
SEBAG Michèle
TEYTAUD Olivier
VILNAT Anne (présidente)
YVON François

Externes :
BASKIOTIS Nicolas
CAPPÉ Olivier
CHEVALEYRE Yann
CORRUBLE Vincent
DEFFUANT Guillaume
ESTRADE Anne
MEIGNIER Sylvain
ZARGAYOUNA Haïfa
"
"MCF","26","27","","\N"
"PR","25","26","","Membres locaux :
- Cédric Lecouvey (président)
- Guy Barles
- Anne Duittoz
- Emmanuel Lesigne
- Marc Peigné
Membres extérieurs :
- Romain Abraham  (Orléans)
- Nils Berglund (Orléans)
- Loïc Chaumont (Angers)
- Florence Merlevede (Marne-la-Vallée)
- Élisabeth Rouy-Mironescu (Lyon)"
"PR","27","","","Internes :
ETIEMBLE Daniel
FROIDEVAUX Christine
MANNOUSSAKIS Yannis
MARTIGNON Fabio
ROZOY Brigitte
SARFATI Alain (président)

Externes :
BAJARD Jean-Claude
CHESNEAUX Jean-Marie
MATHIEU Claire
PERNY Patrice
ROUVEIROL Céline
SENS Pierre"
"MCF","25","","","\N"
"MCF","26","","","\N"
"MCF","70","26","","Rang A locaux:
J. Blum
R. Lozi
N. Biagioli

Rang A extérieurs: 
J. Ginestié (président)
D. Butlen
T. Dos-Reis Assude
L. Schwartz

Rang B locaux: 
J. Santini
F. Herbaut
S. Krell

Rang B extérieurs: 
D. Forest
M.-P. Chopin
M. Toullec-Théry
C. Picaronny"
"MCF","26","","","\N"
"MCF","25","","","Collège A
Fabien Durand, professeur (25) à l'Université de Picardie Jules Verne, LAMFA
Christian Mauduit, professeur (25) à l'Université d'Aix-Marseille, IML
Anne Pichon, professeur (25) à l'Université d'Aix-Marseille, IML
Joël Rivat, professeur (25) à l'Université d'Aix-Marseille, IML
Gerald Tenenbaum, professeur (25) à l'Université de Lorraine, IECL
Luca Zamboni, professeur (25) à l'Université de Lyon-I, ICJ

Collège B
Nicolas Bedaride, maître de conférences (25) à l'Université d'Aix-Marseille, LATP
Julien Cassaigne, chargé de recherche (41) au CNRS, IML
Thomas Fernique, chargé de recherche (06) au CNRS, LIPN
Pierre Guillon, chargé de recherche (06) au CNRS, IML
François Maucourant, maître de conférences (25) à l'Université de Rennes-I, IRMAR
Anne de Roton, maître de conférences (25) à l'Université de Lorraine, IECL"
